Index,Timestamp,Spot
0,09:20:11,22438
1,09:20:14,22436
2,09:20:17,22433
3,09:20:21,22435
4,09:20:25,22435
5,09:20:28,22432
6,09:20:32,22430
7,09:20:35,22432
8,09:20:39,22428
9,09:20:42,22427
10,09:20:45,22428
11,09:20:49,22429
12,09:20:53,22428
13,09:20:56,22428
14,09:21:00,22429
15,09:21:03,22429
16,09:21:07,22431
17,09:21:10,22431
18,09:21:14,22429
19,09:21:17,22428
20,09:21:21,22428
21,09:21:25,22428
22,09:21:28,22428
23,09:21:32,22427
24,09:21:36,22426
25,09:21:39,22425
26,09:21:43,22424
27,09:21:47,22420
28,09:21:50,22421
29,09:21:54,22422
30,09:21:57,22420
31,09:22:01,22421
32,09:22:04,22421
33,09:22:08,22421
34,09:22:11,22420
35,09:22:14,22419
36,09:22:18,22420
37,09:22:21,22419
38,09:22:25,22421
39,09:22:29,22421
40,09:22:32,22417
41,09:22:35,22419
42,09:22:39,22420
43,09:22:42,22419
44,09:22:46,22421
45,09:22:50,22418
46,09:22:53,22418
47,09:22:57,22417
48,09:23:00,22421
49,09:23:04,22418
50,09:23:08,22418
51,09:23:11,22419
52,09:23:14,22422
53,09:23:18,22422
54,09:23:21,22424
55,09:23:25,22423
56,09:23:29,22424
57,09:23:32,22425
58,09:23:35,22428
59,09:23:39,22429
60,09:23:43,22426
61,09:23:47,22426
62,09:23:51,22426
63,09:23:54,22426
64,09:23:57,22427
65,09:24:01,22422
66,09:24:04,22424
67,09:24:07,22425
68,09:24:10,22426
69,09:24:14,22426
70,09:24:17,22426
71,09:24:21,22425
72,09:24:25,22426
73,09:24:28,22425
74,09:24:31,22426
75,09:24:35,22426
76,09:24:38,22425
77,09:24:42,22425
78,09:24:45,22428
79,09:24:49,22429
80,09:24:53,22430
81,09:24:56,22430
82,09:24:59,22431
83,09:25:03,22430
84,09:25:07,22435
85,09:25:11,22435
86,09:25:14,22436
87,09:25:18,22441
88,09:25:21,22442
89,09:25:25,22443
90,09:25:29,22437
91,09:25:32,22437
92,09:25:36,22435
93,09:25:40,22433
94,09:25:44,22437
95,09:25:47,22435
96,09:25:51,22439
97,09:25:55,22439
98,09:25:58,22437
99,09:26:01,22438
100,09:26:05,22439
101,09:26:08,22439
102,09:26:11,22437
103,09:26:14,22437
104,09:26:18,22438
105,09:26:21,22438
106,09:26:24,22439
107,09:26:28,22439
108,09:26:31,22441
109,09:26:35,22442
110,09:26:39,22443
111,09:26:42,22442
112,09:26:46,22439
113,09:26:50,22440
114,09:26:53,22441
115,09:26:57,22445
116,09:27:01,22446
117,09:27:04,22445
118,09:27:07,22441
119,09:27:11,22441
120,09:27:15,22440
121,09:27:18,22441
122,09:27:21,22441
123,09:27:25,22442
124,09:27:28,22443
125,09:27:31,22444
126,09:27:35,22443
127,09:27:39,22444
128,09:27:43,22446
129,09:27:46,22447
130,09:27:50,22449
131,09:27:53,22450
132,09:27:58,22447
133,09:28:01,22444
134,09:28:05,22446
135,09:28:09,22447
136,09:28:13,22445
137,09:28:17,22446
138,09:28:21,22445
139,09:28:24,22448
140,09:28:28,22444
141,09:28:31,22445
142,09:28:34,22445
143,09:28:38,22447
144,09:28:42,22444
145,09:28:45,22446
146,09:28:48,22447
147,09:28:51,22444
148,09:28:56,22446
149,09:28:59,22445
150,09:29:03,22445
151,09:29:07,22445
152,09:29:11,22447
153,09:29:14,22447
154,09:29:17,22446
155,09:29:21,22447
156,09:29:25,22448
157,09:29:28,22447
158,09:29:32,22445
159,09:29:35,22446
160,09:29:38,22445
161,09:29:42,22446
162,09:29:45,22446
163,09:29:49,22443
164,09:29:52,22444
165,09:29:56,22444
166,09:30:00,22444
167,09:30:04,22443
168,09:30:07,22443
169,09:30:11,22445
170,09:30:15,22445
171,09:30:18,22447
172,09:30:22,22448
173,09:30:25,22449
174,09:30:28,22451
175,09:30:32,22447
176,09:30:36,22449
177,09:30:39,22449
178,09:30:43,22450
179,09:30:46,22450
180,09:30:49,22451
181,09:30:53,22452
182,09:30:57,22454
183,09:31:01,22453
184,09:31:04,22454
185,09:31:08,22453
186,09:31:11,22455
187,09:31:14,22462
188,09:31:18,22462
189,09:31:21,22460
190,09:31:24,22459
191,09:31:28,22461
192,09:31:31,22460
193,09:31:35,22460
194,09:31:39,22464
195,09:31:43,22463
196,09:31:47,22462
197,09:31:50,22463
198,09:31:54,22463
199,09:31:57,22466
200,09:32:01,22464
201,09:32:04,22469
202,09:32:08,22472
203,09:32:11,22475
204,09:32:14,22477
205,09:32:19,22482
206,09:32:22,22483
207,09:32:25,22489
208,09:32:29,22491
209,09:32:33,22494
210,09:32:36,22497
211,09:32:40,22493
212,09:32:43,22494
213,09:32:47,22489
214,09:32:51,22483
215,09:32:54,22485
216,09:32:57,22482
217,09:33:01,22483
218,09:33:05,22487
219,09:33:08,22490
220,09:33:11,22490
221,09:33:15,22491
222,09:33:19,22489
223,09:33:22,22490
224,09:33:26,22490
225,09:33:29,22491
226,09:33:33,22492
227,09:33:36,22490
228,09:33:40,22490
229,09:33:43,22489
230,09:33:48,22488
231,09:33:51,22489
232,09:33:55,22488
233,09:33:59,22488
234,09:34:03,22489
235,09:34:06,22489
236,09:34:10,22490
237,09:34:13,22490
238,09:34:16,22492
239,09:34:19,22491
240,09:34:23,22492
241,09:34:26,22494
242,09:34:29,22492
243,09:34:33,22493
244,09:34:36,22495
245,09:34:39,22495
246,09:34:43,22496
247,09:34:46,22495
248,09:34:49,22492
249,09:34:53,22492
250,09:34:56,22491
251,09:34:59,22491
252,09:35:03,22488
253,09:35:06,22490
254,09:35:10,22490
255,09:35:13,22486
256,09:35:17,22487
257,09:35:20,22487
258,09:35:24,22486
259,09:35:28,22484
260,09:35:32,22482
261,09:35:35,22482
262,09:35:39,22480
263,09:35:42,22482
264,09:35:45,22486
265,09:35:49,22485
266,09:35:52,22483
267,09:35:56,22482
268,09:35:59,22479
269,09:36:03,22482
270,09:36:07,22481
271,09:36:11,22481
272,09:36:14,22479
273,09:36:18,22480
274,09:36:21,22479
275,09:36:24,22478
276,09:36:28,22481
277,09:36:31,22482
278,09:36:35,22482
279,09:36:38,22481
280,09:36:42,22483
281,09:36:45,22483
282,09:36:48,22481
283,09:36:52,22482
284,09:36:56,22482
285,09:36:59,22481
286,09:37:03,22481
287,09:37:06,22480
288,09:37:10,22480
289,09:37:13,22477
290,09:37:17,22479
291,09:37:21,22481
292,09:37:25,22480
293,09:37:29,22482
294,09:37:32,22479
295,09:37:35,22479
296,09:37:39,22480
297,09:37:42,22481
298,09:37:46,22480
299,09:37:49,22477
300,09:37:52,22478
301,09:37:56,22480
302,09:38:00,22479
303,09:38:03,22480
304,09:38:07,22482
305,09:38:10,22481
306,09:38:14,22480
307,09:38:17,22481
308,09:38:21,22482
309,09:38:24,22483
310,09:38:28,22484
311,09:38:31,22484
312,09:38:35,22484
313,09:38:39,22484
314,09:38:42,22485
315,09:38:46,22485
316,09:38:49,22483
317,09:38:52,22482
318,09:38:56,22482
319,09:38:59,22483
320,09:39:04,22483
321,09:39:07,22482
322,09:39:11,22482
323,09:39:14,22481
324,09:39:18,22480
325,09:39:21,22482
326,09:39:25,22484
327,09:39:28,22483
328,09:39:32,22483
329,09:39:35,22481
330,09:39:39,22482
331,09:39:43,22482
332,09:39:46,22479
333,09:39:50,22479
334,09:39:53,22480
335,09:39:57,22479
336,09:40:00,22479
337,09:40:03,22479
338,09:40:07,22480
339,09:40:10,22481
340,09:40:13,22480
341,09:40:17,22481
342,09:40:21,22481
343,09:40:24,22480
344,09:40:28,22480
345,09:40:31,22479
346,09:40:35,22481
347,09:40:38,22480
348,09:40:41,22479
349,09:40:45,22477
350,09:40:48,22477
351,09:40:52,22476
352,09:40:55,22476
353,09:40:58,22475
354,09:41:02,22474
355,09:41:06,22475
356,09:41:09,22475
357,09:41:13,22473
358,09:41:17,22474
359,09:41:20,22475
360,09:41:24,22475
361,09:41:27,22476
362,09:41:31,22477
363,09:41:34,22478
364,09:41:38,22479
365,09:41:42,22479
366,09:41:45,22480
367,09:41:48,22481
368,09:41:51,22481
369,09:41:55,22482
370,09:41:59,22481
371,09:42:02,22481
372,09:42:06,22481
373,09:42:09,22477
374,09:42:12,22478
375,09:42:16,22483
376,09:42:20,22484
377,09:42:23,22484
378,09:42:26,22485
